ST	species	ID	adk	fumC	gyrB	icd	mdh	purA	recA
131	ecoli	ID1000159.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
131	ecoli	ID1000167.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
131	ecoli	ID1000183.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
-	ecoli	ID1000193.fastq.gz.fasta	adk(13)	fumC(24)	gyrB(19)	icd(-)	mdh(23)	purA(-)	recA(10)
457	ecoli	ID1000197.fastq.gz.fasta	adk(101)	fumC(88)	gyrB(97)	icd(108)	mdh(26)	purA(79)	recA(2)
90	ecoli	ID1000213.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(8)	recA(7)
648	ecoli	ID1000227.fastq.gz.fasta	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
405	ecoli	ID1000247.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
167	ecoli	ID1000251.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
69	ecoli	ID1000254.fastq.gz.fasta	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
405	ecoli	ID1000270.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
6870	ecoli	ID1000301.fastq.gz.fasta	adk(10)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
69	ecoli	ID1000316.fastq.gz.fasta	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
131	ecoli	ID1000321.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
410	ecoli	ID1000332.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
131	ecoli	ID1000353.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
410	ecoli	ID1000384.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
69	ecoli	ID1000386.fastq.gz.fasta	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
11	ecoli	ID1000397.fastq.gz.fasta	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
345	ecoli	ID1000399.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(14)	icd(1)	mdh(20)	purA(62)	recA(7)
131	ecoli	ID1000407.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
156	ecoli	ID1000439.fastq.gz.fasta	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
405	ecoli	ID1000440.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
345	ecoli	ID1000461.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(14)	icd(1)	mdh(20)	purA(62)	recA(7)
1193	ecoli	ID1000462.fastq.gz.fasta	adk(14)	fumC(14)	gyrB(10)	icd(200)	mdh(17)	purA(7)	recA(10)
131	ecoli	ID1000466.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
405	ecoli	ID1000492.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
167	ecoli	ID1000493.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
405	ecoli	ID1000508.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
131	ecoli	ID1000526.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
10	ecoli	ID1000544.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
-	ecoli	ID1000565.fastq.gz.fasta	adk(6)	fumC(6)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
10	ecoli	ID1000571.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
95	ecoli	ID1000584.fastq.gz.fasta	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
648	ecoli	ID1000591.fastq.gz.fasta	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
156	ecoli	ID1000597.fastq.gz.fasta	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
354	ecoli	ID1000627.fastq.gz.fasta	adk(85)	fumC(88)	gyrB(78)	icd(29)	mdh(59)	purA(58)	recA(62)
90	ecoli	ID1000641.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(8)	recA(7)
131	ecoli	ID1000644.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
167	ecoli	ID1000654.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
963	ecoli	ID1000671.fastq.gz.fasta	adk(4)	fumC(26)	gyrB(151)	icd(25)	mdh(5)	purA(5)	recA(19)
101	ecoli	ID1000675.fastq.gz.fasta	adk(43)	fumC(41)	gyrB(15)	icd(18)	mdh(11)	purA(7)	recA(6)
38	ecoli	ID1000680.fastq.gz.fasta	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
405	ecoli	ID1000695.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
38	ecoli	ID1000722.fastq.gz.fasta	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
405	ecoli	ID1000739.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
405	ecoli	ID1000751.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
648	ecoli	ID1000758.fastq.gz.fasta	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
90	ecoli	ID1000771.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(8)	recA(7)
-	ecoli	ID1000780.fastq.gz.fasta	adk(4)	fumC(26)	gyrB(-)	icd(25)	mdh(5)	purA(5)	recA(19)
131	ecoli	ID1000800.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
144	ecoli	ID1000811.fastq.gz.fasta	adk(13)	fumC(43)	gyrB(9)	icd(36)	mdh(30)	purA(44)	recA(25)
167	ecoli	ID1000835.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
-	ecoli	ID1000852.fastq.gz.fasta	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(538)	purA(58)	recA(2)
404	ecoli	ID1000859.fastq.gz.fasta	adk(14)	fumC(14)	gyrB(10)	icd(14)	mdh(17)	purA(7)	recA(74)
131	ecoli	ID1000865.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
69	ecoli	ID1000867.fastq.gz.fasta	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
90	ecoli	ID1000873.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(8)	recA(7)
405	ecoli	ID1000882.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
6870	ecoli	ID1000892.fastq.gz.fasta	adk(10)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
354	ecoli	ID1000893.fastq.gz.fasta	adk(85)	fumC(88)	gyrB(78)	icd(29)	mdh(59)	purA(58)	recA(62)
6870	ecoli	ID1000918.fasta	adk(10)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
6870	ecoli	ID1000918.fastq.gz.fasta	adk(10)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
